filename,angle
1.jpg,90.49
2.jpg,3.64
3.jpg,48.96
4.jpg,32.33
5.jpg,26.19
7.jpg,2.43
8.jpg,360.0
9.jpg,47.88
10.jpg,87.34
11.jpg,30.53
12.jpg,135.47
13.jpg,1.55
14.jpg,39.21
15.jpg,2.13
16.jpg,12.03
17.jpg,358.31
18.jpg,347.01
19.jpg,337.03
20.jpg,3.23
21.jpg,44.49
22.jpg,6.97
23.jpg,83.93
24.jpg,3.54
25.jpg,13.7
26.jpg,346.11
27.jpg,356.64
28.jpg,5.75
29.jpg,79.98
31.jpg,158.53
32.jpg,1.3
33.jpg,5.29
34.jpg,5.24
35.jpg,1.29
36.jpg,59.71
37.jpg,2.32
38.jpg,165.93
39.jpg,43.16
40.jpg,55.14
42.jpg,353.55
43.jpg,2.72
44.jpg,55.54
46.jpg,7.23
47.jpg,34.77
48.jpg,356.84
49.jpg,0.85
50.jpg,352.49
51.jpg,73.69
52.jpg,19.77
53.jpg,20.51
54.jpg,100.33
55.jpg,62.69
58.jpg,350.07
60.jpg,345.27
61.jpg,148.25
62.jpg,357.17
63.jpg,4.33
64.jpg,21.53
65.jpg,54.45
66.jpg,5.51
68.jpg,8.05
69.jpg,13.28
70.jpg,6.12
71.jpg,355.4
72.jpg,1.45
73.jpg,2.09
74.jpg,357.96
75.jpg,2.49
76.jpg,353.89
77.jpg,10.46
78.jpg,8.73
79.jpg,5.25
80.jpg,1.87
81.jpg,319.28
82.jpg,22.49
83.jpg,5.01
85.jpg,7.48
86.jpg,168.32
87.jpg,104.01
88.jpg,358.84
90.jpg,32.44
91.jpg,11.64
92.jpg,3.82
94.jpg,342.9
95.jpg,336.47
96.jpg,328.51
97.jpg,355.57
98.jpg,344.4
99.jpg,2.07
100.jpg,44.4
101.jpg,45.2
102.jpg,10.38
104.jpg,24.93
105.jpg,48.73
107.jpg,3.19
108.jpg,123.15
109.jpg,350.93
110.jpg,349.49
111.jpg,17.05
112.jpg,289.31
113.jpg,181.55
114.jpg,265.53
115.jpg,308.92
116.jpg,345.27
117.jpg,321.67
118.jpg,306.13
119.jpg,318.43
121.jpg,332.79
122.jpg,227.96
124.jpg,318.15
125.jpg,281.91
126.jpg,318.56
127.jpg,343.52
128.jpg,278.99
130.jpg,322.69
131.jpg,290.27
133.jpg,216.73
134.jpg,320.04
135.jpg,238.32
136.jpg,16.36
137.jpg,289.42
138.jpg,241.19
139.jpg,187.82
140.jpg,245.97
142.jpg,9.59
143.jpg,167.91
144.jpg,234.5
145.jpg,262.27
147.jpg,266.18
148.jpg,151.7
153.jpg,223.52
155.jpg,237.64
156.jpg,299.34
157.jpg,311.88
158.jpg,272.75
159.jpg,18.74
160.jpg,263.36
161.jpg,264.02
163.jpg,293.03
164.jpg,276.44
165.jpg,220.59
166.jpg,149.2
167.jpg,240.27
168.jpg,251.26
169.jpg,247.05
170.jpg,251.68
171.jpg,224.61
172.jpg,298.89
173.jpg,343.45
174.jpg,304.58
175.jpg,295.38
176.jpg,303.23
177.jpg,354.41
179.jpg,274.69
180.jpg,11.68
181.jpg,272.1
182.jpg,260.76
183.jpg,23.56
184.jpg,251.69
185.jpg,19.65
186.jpg,334.5
188.jpg,271.76
190.jpg,250.95
191.jpg,6.1
192.jpg,244.31
194.jpg,247.63
195.jpg,357.87
196.jpg,210.63
197.jpg,243.91
198.jpg,340.48
199.jpg,258.59
200.jpg,278.11
201.jpg,142.31
204.jpg,343.51
206.jpg,262.53
207.jpg,100.34
208.jpg,202.27
209.jpg,297.71
211.jpg,311.93
212.jpg,258.43
213.jpg,6.65
214.jpg,5.57
215.jpg,300.8
216.jpg,214.71
217.jpg,238.55
218.jpg,257.21
219.jpg,61.4
225.jpg,234.88
226.jpg,294.24
227.jpg,330.5
228.jpg,262.41
229.jpg,274.57
230.jpg,281.16
231.jpg,2.34
232.jpg,298.7
233.jpg,0.53
237.jpg,4.66
238.jpg,182.35
239.jpg,265.03
240.jpg,143.31
244.jpg,347.81
245.jpg,211.13
246.jpg,14.81
248.jpg,256.59
250.jpg,87.37
251.jpg,75.93
252.jpg,17.34
254.jpg,357.85
255.jpg,5.55
256.jpg,4.62
258.jpg,308.28
259.jpg,348.98
262.jpg,332.51
263.jpg,108.88
264.jpg,136.96
265.jpg,246.57
267.jpg,108.91
268.jpg,347.68
269.jpg,21.82
270.jpg,59.45
271.jpg,97.69
274.jpg,254.31
275.jpg,265.81
276.jpg,237.41
279.jpg,261.03
280.jpg,217.58
281.jpg,336.65
282.jpg,57.5
283.jpg,36.09
284.jpg,92.32
285.jpg,7.53
286.jpg,118.49
287.jpg,64.79
288.jpg,127.96
289.jpg,29.6
290.jpg,356.86
291.jpg,5.39
293.jpg,4.72
294.jpg,123.09
295.jpg,31.52
296.jpg,23.02
298.jpg,3.17
299.jpg,349.5
301.jpg,17.31
303.jpg,244.16
304.jpg,192.8
305.jpg,254.81
306.jpg,347.03
307.jpg,226.62
308.jpg,276.32
309.jpg,22.52
310.jpg,5.54
311.jpg,306.69
312.jpg,220.29
313.jpg,326.31
315.jpg,184.15
318.jpg,7.35
320.jpg,348.72
324.jpg,16.71
325.jpg,281.33
327.jpg,280.88
328.jpg,280.68
329.jpg,216.56
330.jpg,274.69
331.jpg,269.64
332.jpg,261.67
333.jpg,258.14
334.jpg,335.31
335.jpg,19.59
337.jpg,305.95
338.jpg,247.32
339.jpg,254.01
340.jpg,313.81
341.jpg,322.52
