filename,x1,y1,x2,y2,x3,y3,x4,y4
1.jpg,287,612,1431,712,1431,2512,287,2556
10.jpg,287,575,1543,537,1731,2562,287,2581
1001.jpg,14,505,3171,816,3063,2492,122,3244
1003.jpg,1914,621,4457,852,3807,2897,1372,1950
1004.jpg,1314,946,3381,881,3453,2225,1379,2290
1005.jpg,1141,823,3872,960,4544,2528,910,2615
1006.jpg,1257,679,4002,332,3915,2579,1257,2210
1008.jpg,1835,274,3330,411,3670,2897,1994,3070
1009.jpg,1387,187,3475,296,3374,3460,1495,3460
1010.jpg,1856,361,2983,657,2810,2427,1603,2254
1011.jpg,534,1459,3077,621,3908,1914,910,3128
1012.jpg,910,823,3966,895,4024,2853,794,2853
1013.jpg,1488,310,2803,245,3648,2189,2037,2579
1014.jpg,1343,368,2528,158,3186,1957,2080,2405
1015.jpg,1004,903,3525,794,3966,2268,910,2564
1016.jpg,1835,823,3186,823,3561,3099,1661,3135
1017.jpg,1372,960,4168,852,4168,2543,1668,2723
1018.jpg,2044,708,4342,1575,3836,3012,1546,2174
1019.jpg,1719,1090,2723,245,3937,2008,2875,2752
102.jpg,1437,287,3131,387,3256,1412,1237,1262
1020.jpg,1871,592,2926,1286,2131,3244,910,2926
1021.jpg,2167,447,3677,895,3128,3330,1546,2998
1022.jpg,1307,1054,3735,1416,3937,2817,505,1943
1023.jpg,881,852,2991,14,3475,1329,1437,2174
1025.jpg,1372,585,2817,390,3417,2622,2124,3272
1026.jpg,2015,43,4197,1741,3287,3128,852,2131
1027.jpg,2897,390,3966,1307,2470,3265,1257,2174
1028.jpg,1748,1119,2622,332,3735,1827,2824,2514
103.jpg,1062,875,2981,643,2981,643,1781,1675
1030.jpg,1257,989,2398,592,3706,2326,2731,3186
1031.jpg,1365,447,3272,541,3135,3229,1459,3265
1032.jpg,1835,375,2955,158,3980,2023,2918,2637
1033.jpg,2470,563,3619,686,3995,2326,2413,2232
1034.jpg,2153,534,4038,1423,3605,2666,1603,1719
1035.jpg,2001,736,3359,997,3121,3330,1459,2991
1036.jpg,1799,534,3272,1170,3034,2088,1488,1712
1038.jpg,419,867,1654,476,2521,2138,1047,2839
1039.jpg,910,1401,1676,765,2839,1936,1921,2723
1040.jpg,1213,823,3330,700,3265,2232,1141,2116
1041.jpg,1054,1538,2550,1343,2658,2723,1134,2579
1042.jpg,1777,1221,3439,332,4024,1343,2369,2304
1043.jpg,1950,895,3829,650,3908,1799,2102,2059
1044.jpg,1546,1011,3619,852,3908,2138,1726,2463
1045.jpg,2088,592,3561,823,3063,3316,1083,2745
1046.jpg,2015,578,3504,274,3446,3460,1921,3070
1047.jpg,1885,1589,3720,1228,3691,2572,1488,2622
1048.jpg,2413,1900,4226,1170,4060,2694,1979,2983
1049.jpg,2246,708,4573,1430,3453,3460,1719,1994
1050.jpg,2485,997,3822,2138,3822,2138,2694,3186
1051.jpg,1387,1228,3764,1538,3417,2752,1228,2723
1052.jpg,1538,1632,3482,708,3850,2442,1401,2926
1053.jpg,1148,1314,2955,1726,2666,2810,997,2398
1054.jpg,2319,823,3619,2109,3619,2109,2413,2926
1056.jpg,1488,1835,4139,1596,4139,1596,1849,3012
1058.jpg,1083,946,4450,1625,4450,1625,2868,3012
106.jpg,1437,856,2787,312,3331,1056,1900,1793
1061.jpg,729,816,3547,447,4371,1914,158,2687
1062.jpg,2528,101,3706,1098,2088,3388,708,2312
1063.jpg,729,563,3908,1184,3749,3070,361,2846
1066.jpg,339,1242,3374,592,4226,2239,14,3157
1069.jpg,1748,1090,2731,303,3619,2673,2167,3186
107.jpg,1087,12,2450,12,2631,762,1150,881
1071.jpg,787,650,3533,1654,2947,3280,216,2420
1072.jpg,910,1567,3511,592,4111,2218,1560,3301
1073.jpg,2116,1676,3915,592,4197,2535,1921,2983
1074.jpg,953,1640,3417,1228,4053,2348,476,3012
1075.jpg,1502,1423,3785,101,4400,2254,1401,2911
1076.jpg,1654,794,3966,989,3020,3417,1112,2160
1078.jpg,1835,1307,3966,1119,3757,3244,1603,2644
1079.jpg,1813,130,3706,1900,2579,3063,765,1329
108.jpg,1918,12,2981,362,2512,1793,1137,1287
1080.jpg,2015,650,4342,1365,3171,3417,1430,2001
1081.jpg,2131,274,4255,1524,2767,3359,2767,3359
1082.jpg,1112,1567,3612,968,4002,2586,534,3012
1083.jpg,1300,1770,3272,1228,3677,2449,1083,3012
1084.jpg,2543,852,2543,852,3706,2810,2673,3446
1085.jpg,1907,592,3908,2030,2586,3410,2586,3410
1086.jpg,1799,1892,3612,823,3879,2124,1459,3070
1087.jpg,765,1307,2983,361,3619,1784,982,2752
1088.jpg,1575,1820,3525,765,4486,1813,1575,3099
1089.jpg,823,1661,3345,563,4082,2044,1603,3330
1090.jpg,1358,505,3099,505,2976,3359,1394,3294
1091.jpg,1235,1885,3374,1083,3879,2268,852,3157
1092.jpg,3106,130,3106,130,3937,2355,2586,2983
