filename,x1,y1,x2,y2,x3,y3,x4,y4
1000.jpg,1052,2656,2168,16,3792,708,2532,3444
1002.jpg,1700,320,3312,480,3212,3052,1592,3056
1007.jpg,4136,2580,1276,2532,1384,956,3864,1028
101.jpg,1904,28,3128,1048,2328,1796,1156,632
1024.jpg,3980,2544,704,2472,772,520,3980,624
1029.jpg,3768,2500,1292,2516,1256,940,3768,984
1037.jpg,3496,1996,1596,2332,1400,1228,3220,792
104.jpg,1252,180,2504,884,2168,1676,756,1068
105.jpg,1764,12,3036,1124,1836,1796,792,468
1055.jpg,2364,3224,2676,1132,4392,1364,3820,3460
1057.jpg,1308,1312,3700,1052,4108,2400,748,2516
1059.jpg,1844,696,3136,2156,2548,2932,908,1164
1060.jpg,2932,2968,1772,844,3096,172,4296,2244
1064.jpg,1828,1312,3592,612,3472,3448,1720,2744
1065.jpg,2476,168,4256,2264,2320,3448,1048,944
1067.jpg,688,1264,3404,908,3968,2600,652,3104
1068.jpg,2768,3460,1260,1912,2000,592,4380,1660
1070.jpg,1788,3452,1312,1468,2404,596,3868,2520
1077.jpg,4296,2144,1752,2788,1448,1524,3536,392
109.jpg,980,684,2888,440,3028,1780,1024,1784
1100.jpg,2548,520,4248,2324,2952,3436,1448,1432
1103.jpg,1704,988,4092,1344,3576,3412,1328,2364
111.jpg,1196,144,2796,1048,2192,1792,532,1096
1112.jpg,1964,60,3872,1380,2436,3024,1180,1252
1116.jpg,3068,280,3276,3080,1300,3172,1220,316
1118.jpg,2012,3092,2060,748,3376,216,3472,3416
1119.jpg,528,1208,3712,488,4272,2664,852,3288
1121.jpg,3216,3248,1536,1792,2104,476,4368,1372
1126.jpg,2000,820,3636,1580,2788,3444,1588,1944
1135.jpg,2132,1096,3924,1524,3144,3444,1688,2192
1137.jpg,664,2652,1736,684,3092,880,2596,3196
1142.jpg,2112,84,3580,2404,2036,3332,676,940
1143.jpg,1128,1840,2732,956,3572,1640,1776,2860
115.jpg,1332,1292,2236,132,3072,556,2240,1796
1156.jpg,2296,604,4044,1828,2828,3464,1680,1684
1169.jpg,1032,1828,3188,572,4140,2056,1448,3344
117.jpg,1056,1156,2176,300,2736,1060,1600,1784
119.jpg,1404,1264,2544,440,3176,1116,2316,1792
1194.jpg,2308,3156,848,924,2064,20,3680,2248
1200.jpg,3868,2588,1308,2576,1692,1540,3632,1428
1204.jpg,1288,404,3532,1792,2316,3428,296,1696
121.jpg,1876,736,3196,108,3600,1028,2228,1500
122.jpg,2332,1788,1260,640,1996,128,3200,1144
1221.jpg,712,396,3664,1492,2848,3380,40,2136
1235.jpg,3944,1804,2308,3324,1352,2052,3176,672
1239.jpg,3780,1720,1080,3452,120,1936,2676,260
124.jpg,1236,1012,2332,100,2948,952,1760,1732
1240.jpg,696,1932,2660,796,3616,1772,1288,3196
1241.jpg,3952,1672,1696,3164,708,1376,3028,456
1242.jpg,1656,1208,4300,868,4044,3452,1320,2744
1244.jpg,3924,3128,1028,2652,1300,976,3992,32
1246.jpg,1600,412,3572,1704,2192,3372,804,1620
126.jpg,884,1072,1984,64,2656,740,1472,1744
1262.jpg,1904,544,3736,1628,2444,3456,1216,1744
1265.jpg,44,1316,2624,36,3136,1532,1256,3368
127.jpg,1028,812,2540,232,2980,1192,1340,1788
1298.jpg,2316,3380,1044,904,2544,204,3832,2508
130.jpg,1316,1048,2680,164,3384,992,2256,1788
1301.jpg,2000,1784,1228,640,1852,0,2852,1168
1302.jpg,1068,1120,1828,12,2684,628,1688,1792
1303.jpg,2080,1592,2820,1320,2328,52,1568,324
1306.jpg,1412,1776,1396,184,2368,20,2656,1644
1308.jpg,1288,1368,1764,20,2792,280,2132,1788
